Standard Name,Scientific Name,Authority,CAAB Code,Family or Group,Date Added,Imported Only
Saddletail Snapper,Lutjanus malabaricus,"(Bloch & Schneider, 1801)",37 346007,Lutjanidae (Tropical Snappers),07/10/2002,
Salmon,Oncorhynchus & Salmo spp.,,37 094902,Salmonidae (Salmons),29/04/2002,
Samsonfish,Seriola dumerili & Seriola hippos,,37 337911,Carangidae (Trevallies),01/01/2002,
Sand Flounder,Rhombosolea plebeia,"(Richardson, 1843)",37 461751,Pleuronectidae (Righteye Flounders),07/10/2002,I
Sand Whiting,Sillago ciliata,"Cuvier, 1829",37 330010,Sillaginidae (Whitings),01/01/2002,
Sandy Sprat,Hyperlophus vittatus,"(Castelnau, 1875)",37 085005,Clupeidae (Herrings),01/01/2002,
Sardine,Clupeidae: Clupeinae - undifferentiated,,37 085904,Clupeidae (Herrings),29/04/2002,
School Mackerel,Scomberomorus queenslandicus,"Munro, 1943",37 441014,Scombridae (Mackerels),01/01/2002,
School Whiting,"Sillago bassensis, Sillago flindersi & Sillago robusta",,37 330901,Sillaginidae (Whitings),01/01/2002,
Sea Mullet,Mugil cephalus,"Linnaeus, 1758",37 381002,Mugilidae (Mullets),01/01/2002,
Seabream,Gymnocranius & Monotaxis spp.,,37 351903,Lethrinidae (Emperors),01/01/2002,
Shark Mackerel,Grammatorcynus bicarinatus,"(Quoy & Gaimard, 1825)",37 441025,Scombridae (Mackerels),01/01/2002,
Sheatfish,Siluridae - undifferentiated,,37 175750,Siluridae (Sheatfishes),29/04/2002,I
Shortbill Spearfish,Tetrapturus angustirostris,"Tanaka, 1915",37 444007,Istiophoridae (Marlins),31/05/2006,
Silver Biddy,Gerreidae - undifferentiated,,37 349000,Gerreidae (Silverbiddies),01/01/2002,
Silver Cobbler,Neoarius midgleyi,"(Kailola & Pierce, 1988)",37 188010,Ariidae (Forktail Catfishes),01/01/2002,
Silver Dory,Cyttus australis,"(Richardson, 1843)",37 264002,Cyttidae (Lookdown Dories),01/01/2002,
Silver Javelin,Pomadasys argenteus,"(Forsskål, 1775)",37 350009,Haemulidae (Grunter Breams),10/03/2003,
Silver Perch,Bidyanus bidyanus,"(Mitchell, 1838)",37 321008,Terapontidae (Striped Grunters),01/01/2002,
Silver Pomfret,Pampus spp. except P. chinensis,,37 448750,Stromateidae (Butterfishes),29/04/2002,I
Silver Trevally,"Pseudocaranx georgianus, Pseudocaranx sp. dentex"" & Pseudocaranx wrighti""",,37 337910,Carangidae (Trevallies),01/01/2002,
Silver Warehou,Seriolella punctata,"(Forster, 1801)",37 445006,Centrolophidae (Trevallas),01/01/2002,
Sixbar Grouper,Epinephelus sexfasciatus,"(Valenciennes, 1828)",37 311017,Serranidae (Rockcods),31/05/2006,
Skipjack Tuna,Katsuwonus pelamis,"(Linnaeus, 1758)",37 441003,Scombridae (Mackerels),01/01/2002,
Sky Emperor,Lethrinus mahsena,"(Forsskål, 1775)",37 351750,Lethrinidae (Emperors),31/05/2006,I
Slender Tuna,Allothunnus fallai,"Serventy, 1948",37 441021,Scombridae (Mackerels),01/01/2002,
Smelt,Osmeridae - undifferentiated,,37 096750,Osmeridae (Smelts),04/03/2004,I
Smooth Oreodory,Pseudocyttus maculatus,"Gilchrist, 1906",37 266003,Oreosomatidae (Oreodories),10/03/2003,
Snake Catfish,Clariidae (imported species),,37 182750,Clariidae (Snake Catfishes),29/04/2002,I
Snakehead,Channa spp.,,37 283750,Channidae (Snakeheads),29/04/2002,I
Snapper,Chrysophrys auratus,"(Forster, 1801)",37 353001,Sparidae (Breams),01/01/2002,
Snook,Sphyraena novaehollandiae,"Günther, 1860",37 382002,Sphyraenidae (Pikes),08/03/2005,
Snubnose Garfish,Arrhamphus sclerolepis,"Günther, 1866",37 234006,Hemiramphidae (Garfishes),31/05/2006,
South American Flathead,Percophis brasiliensis,"Quoy & Gaimard, 1825",37 393750,Percophidae (Duckbills),07/10/2002,I
Southern Blue Whiting,Micromesistius australis,"Norman, 1937",37 226795,Gadidae (Cods),01/01/2002,I
Southern Bluefin Tuna,Thunnus maccoyii,"(Castelnau, 1872)",37 441004,Scombridae (Mackerels),01/01/2002,
Southern Bluespotted Flathead,Platycephalus speculator,"Klunzinger, 1872",37 296037,Platycephalidae (Flatheads),08/03/2005,
Southern Garfish,Hyporhamphus melanochir,"(Valenciennes, 1847)",37 234001,Hemiramphidae (Garfishes),01/01/2002,
Southern Hake,Merluccius australis,"(Hutton, 1872)",37 227002,Merlucciidae (Hakes),01/01/2002,
Southern Rock Cod,Lotella & Pseudophycis spp.,,37 224900,Moridae (Morid Cods),01/01/2002,
Southern Sand Flathead,Platycephalus bassensis,"Cuvier, 1829",37 296003,Platycephalidae (Flatheads),08/03/2005,
Southern Shortfin Eel,Anguilla australis,"Richardson, 1841",37 056001,Anguillidae (Freshwater Eels),08/03/2005,
Spangled Emperor,Lethrinus nebulosus,"(Forsskål, 1775)",37 351008,Lethrinidae (Emperors),01/01/2002,
Spanish Mackerel,Scomberomorus commerson,"(Lacépède, 1800)",37 441007,Scombridae (Mackerels),01/01/2002,
Spikey Oreodory,Neocyttus rhomboidalis,"Gilchrist, 1906",37 266001,Oreosomatidae (Oreodories),10/03/2003,
Spotted Mackerel,Scomberomorus munroi,"Collette & Russo, 1980",37 441015,Scombridae (Mackerels),01/01/2002,
Stargazer,Uranoscopidae - undifferentiated,,37 400000,Uranoscopidae (Stargazers),01/01/2002,
Striped Perch,Terapontidae - undifferentiated,,37 321000,Terapontidae (Striped Grunters),01/01/2002,
Striped Seapike,Sphyraena spp.,,37 382901,Sphyraenidae (Pikes),01/01/2002,
Striped Trumpeter,Latris lineata,"(Schneider, 1801)",37 378001,Latridae (Trumpeters),01/01/2002,
Stripey Snapper,Lutjanus carponotatus,"(Richardson, 1842)",37 346011,Lutjanidae (Tropical Snappers),07/10/2002,
Surgeonfish,Acanthuridae - undifferentiated,,37 437900,Acanthuridae (Surgeonfishes),08/03/2005,
Swallowtail,Centroberyx lineatus,"(Cuvier, 1829)",37 258005,Berycidae (Alfonsinos),01/01/2002,
Sweep,Scorpididae - undifferentiated,,37 361900,Scorpididae (Sweeps),01/01/2002,
Sweetlips,Haemulidae except Pomadasys spp.,,37 350904,Haemulidae (Grunter Breams),03/12/2010,
Swordfish,Xiphias gladius,"Linnaeus, 1758",37 442001,Xiphiidae (Swordfishes),01/01/2002,
Tailor,Pomatomus saltatrix,"(Linnaeus, 1766)",37 334002,Pomatomidae (Tailors),01/01/2002,
Tarwhine,Rhabdosargus sarba,"(Forsskål, 1775)",37 353013,Sparidae (Breams),01/01/2002,
Tench,Tinca tinca,"(Linnaeus, 1758)",37 165002,Cyprinidae (Carps),01/01/2002,
Teraglin,Atractoscion aequidens,"(Cuvier, 1830)",37 354020,Sciaenidae (Jewfishes),01/01/2002,
Thetis Fish,Neosebastes thetidis,"(Waite, 1899)",37 287006,Neosebastidae (Gurnard Perches),31/05/2006,
Threadfin,Polynemidae - undifferentiated,,37 383000,Polynemidae (Threadfin Salmons),29/04/2002,
Threadfin Bream,Nemipteridae - undifferentiated,,37 347000,Nemipteridae (Threadfin Breams),01/01/2002,
Three-by-two Garfish,Hemiramphus robustus,"Günther, 1866",37 234013,Hemiramphidae (Garfishes),31/05/2006,
Tiger Flathead,Platycephalus aurimaculatus & Platycephalus richardsoni,,37 296903,Platycephalidae (Flatheads),01/01/2002,
Tilapia,"Oreochromis, Sarotherodon & Tilapia spp.",,37 371900,Cichlidae (Cichlids),29/04/2002,
Tilefish,Malacanthidae - undifferentiated,,37 331000,Malacanthidae (Tilefishes),01/01/2002,
Tongue Sole,Cynoglossidae - undifferentiated,,37 463000,Cynoglossidae (Tongue Soles),31/05/2006,
Trevally,Carangidae: Caranginae - undifferentiated,,37 337913,Carangidae (Trevallies),01/01/2002,
Tropical Snapper,Lutjanus spp.,,37 346905,Lutjanidae (Tropical Snappers),07/10/2002,
Trout,Oncorhynchus mykiss & Salmo trutta,,37 094900,Salmonidae (Salmons),01/01/2002,
Trumpeter,Latridopsis spp.,,37 378900,Latridae (Trumpeters),01/01/2002,
Trumpeter Whiting,Sillago maculata,"Quoy & Gaimard, 1824",37 330015,Sillaginidae (Whitings),01/01/2002,
Tuna,Scombridae spp. (tribes Sardini & Thunnini),,37 441912,Scombridae (Mackerels),01/01/2002,
Turrum,Carangoides fulvoguttatus,"(Forsskål, 1775)",37 337037,Carangidae (Trevallies),01/01/2002,
Tusk,Dannevigia tusca,"Whitley, 1941",37 228001,Ophidiidae (Cusk Eels),01/01/2002,
Tuskfish,Choerodon spp.,,37 384902,Labridae (Wrasses),01/01/2002,
Velvet Leatherjacket,Meuschenia scaber,"(Forster, 1801)",37 465005,Monacanthidae (Leatherjackets),01/01/2002,
Wahoo,Acanthocybium solandri,"(Cuvier, 1831)",37 441024,Scombridae (Mackerels),08/03/2005,
West Australian Dhufish,Glaucosoma hebraicum,"Richardson, 1845",37 320004,Glaucosomatidae (Pearl Perches),01/01/2002,
White Pomfret,Pampus chinensis,"(Euphrasen, 1788)",37 448752,Stromateidae (Butterfishes),07/10/2002,I
White Warehou,Seriolella caerulea,"Guichenot, 1848",37 445011,Centrolophidae (Trevallas),01/01/2002,
Whitebait,Lovettia sealii & Galaxias spp.,,37 990002,Fishes (multi-family groups),01/01/2002,
Whiting,Sillaginidae - undifferentiated,,37 330000,Sillaginidae (Whitings),01/01/2002,
Wirrah,Acanthistius spp.,,37 311912,Serranidae (Rockcods),31/05/2006,
Wrasse,Labridae - undifferentiated,,37 384000,Labridae (Wrasses),01/01/2002,
Yellowbelly Flounder,Rhombosolea leporina,"Günther, 1862",37 461750,Pleuronectidae (Righteye Flounders),07/10/2002,I
Yelloweye Redfish,Centroberyx australis,"Shimizu & Hutchins, 1987",37 258006,Berycidae (Alfonsinos),01/01/2002,
Yellowfin Bream,Acanthopagrus australis,"(Günther, 1859)",37 353004,Sparidae (Breams),01/01/2002,
Yellowfin Pigfish,Bodianus flavipinnis,"Gomon, 2001",37 384035,Labridae (Wrasses),31/05/2006,
Yellowfin Tuna,Thunnus albacares,"(Bonnaterre, 1788)",37 441002,Scombridae (Mackerels),01/01/2002,
Yellowfin Whiting,Sillago schomburgkii,"Peters, 1865",37 330012,Sillaginidae (Whitings),01/01/2002,
Yellowspot Goatfish,Parupeneus indicus,"(Shaw, 1803)",37 355005,Mullidae (Goatfishes),31/05/2006,
Yellowspotted Rockcod,Epinephelus areolatus,"(Forsskål, 1775)",37 311009,Serranidae (Rockcods),01/01/2002,
Yellowtail Kingfish,Seriola lalandi,"Valenciennes, 1833",37 337006,Carangidae (Trevallies),01/01/2002,
Yellowtail Scad,Trachurus novaezelandiae,"Richardson, 1843",37 337003,Carangidae (Trevallies),01/01/2002,
,,,,,,
Australian Rose Prawn,Parapenaeus australiensis,"Dall, 1957",28 711035,Penaeidae (penaeid prawns),24/11/2014,
Balmain Bug,Ibacus spp.,,28 821901,Scyllaridae (shovel-nosed and slipper lobsters),01/01/2002,
Banana Prawn,Penaeus merguiensis,"De Man, 1888",28 711050,Penaeidae (penaeid prawns),10/12/2014,
Banana Prawns,Penaeus indicus & Penaeus merguiensis,,28 711907,Penaeidae (penaeid prawns),01/01/2002,
Bay Prawn,Metapenaeus bennettae & Metapenaeus insolitus,,28 711901,Penaeidae (penaeid prawns),01/01/2002,
Black Tiger Prawn,Penaeus monodon,"Fabricius, 1798",28 711051,Penaeidae (penaeid prawns),01/01/2002,
Blue Endeavour Prawn,Metapenaeus endeavouri,"(Schmitt, 1926)",28 711026,Penaeidae (penaeid prawns),,
Blue Prawn,Penaeus stylirostris,"Stimpson, 1874",28 711077,Penaeidae (penaeid prawns),22/09/2004,I
Blue Swimmer Crab,Portunus (Portunus) armatus,"(A. Milne Edwards, 1861)",28 911005,Portunidae (swimmer crabs),01/01/2002,
Blue Swimmer Crabs,Portunus pelagicus sensu lato,,28 911903,Portunidae (swimmer crabs),11/11/2010,
Brown Tiger Prawn,Penaeus esculentus,"Haswell, 1879",28 711044,Penaeidae (penaeid prawns),24/11/2014,
Bug,Ibacus spp. & Thenus spp.,,28 821904,Scyllaridae (shovel-nosed and slipper lobsters),07/10/2002,
Champagne Crab,Hypothalassia spp.,,28 916901,Hypothalassiidae (crabs),31/05/2006,
Champagne Lobster,Linuparus spp.,,28 820902,Palinuridae (spiny lobsters),01/01/2002,
Coral Crab,Charybdis (Charybdis) feriata,"(Linnaeus, 1758)",28 911001,Portunidae (swimmer crabs),01/01/2002,
Crab,Infraorder Brachyura - undifferentiated,,28 850000,Infraorder Brachyura (crabs),01/01/2002,
Crystal Crab,Chaceon bicolor,"Manning & Hothuis, 1989",28 910001,Geryonidae (crabs),29/04/2002,
Crystal Crabs,Chaceon spp.,,28 910901,Geryonidae (crabs),27/07/2009,
Eastern King Prawn,Melicertus plebejus,"(Hess, 1865)",28 711052,Penaeidae (penaeid prawns),24/11/2014,
Eastern Rock Lobster,Sagmariasus verreauxi,"(H. Milne-Edwards, 1851)",28 820002,Palinuridae (spiny lobsters),01/01/2002,
Eastern School Prawn,Metapenaeus macleayi,"(Haswell, 1879)",28 711029,Penaeidae (penaeid prawns),24/11/2014,
Endeavour Prawn,Metapenaeus endeavouri & Metapenaeus ensis,,28 711902,Penaeidae (penaeid prawns),01/01/2002,
Freshwater Prawn,Macrobrachium spp.,,28 756901,Palaemonidae (palaemonid shrimps),01/01/2002,
Giant Crab,Pseudocarcinus gigas,"(Lamarck, 1818)",28 915002,Menippidae (crabs),01/01/2002,
Giant Scarlet Prawn,Aristaeopsis edwardsiana,"(Johnson, 1867)",28 712008,Aristeidae (penaeoid prawns),24/11/2014,
Grooved Tiger Prawn,Penaeus semisulcatus,"De Haan, 1844",28 711053,Penaeidae (penaeid prawns),24/11/2014,
King Prawn,Melicertus latisulcatus & Melicertus plebejus,,28 711908,Penaeidae (penaeid prawns),01/01/2002,
Krill,Order Euphausiacea - undifferentiated,,28 700000,,03/12/2010,
Marron,Cherax cainii,"Austin, 2002",28 795007,"Parastacidae (freshwater crayfish, yabbies)",01/01/2002,
Moreton Bay Bug,Thenus spp.,,28 821903,Scyllaridae (shovel-nosed and slipper lobsters),01/01/2002,
Mud Crab,Scylla spp.,,28 911902,Portunidae (swimmer crabs),01/01/2002,
Prawn,Penaeoidea & Caridea - undifferentiated,,28 710000,,01/01/2002,
Pygmy Prawn,Acetes sibogae,"Hansen, 1919",28 720015,Sergestidae (penaeoid prawns),24/11/2014,
Red Endeavour Prawn,Metapenaeus ensis,"(De Haan, 1844)",28 711027,Penaeidae (penaeid prawns),24/11/2014,
Red Prawn,Aristaeomorpha foliacea,"(Risso, 1827)",28 712001,Aristeidae (penaeoid prawns),24/11/2014,
Redclaw,Cherax quadricarinatus,"(von Martens, 1868)",28 795004,"Parastacidae (freshwater crayfish, yabbies)",01/01/2002,
Redleg Banana Prawn,Penaeus indicus,"H. Milne Edwards, 1837",28 711045,Penaeidae (penaeid prawns),24/11/2014,
Redspot King Prawn,Melicertus longistylus,"(Kubo, 1943)",28 711048,Penaeidae (penaeid prawns),01/01/2002,
Royal Red Prawn,Haliporoides sibogae,"(de Man, 1907)",28 714005,Solenoceridae (penaeoid prawns),01/01/2002,
Sand Crab,Ovalipes spp.,,28 911901,Polybiidae (swimmer crabs),01/01/2002,
Scampi,Nephropidae - undifferentiated,,28 786000,Nephropidae (scampi),01/01/2002,
School Prawn,Metapenaeus spp.,,28 711904,Penaeidae (penaeid prawns),01/01/2002,
Slipper Lobster,Scyllarides spp.,,28 821902,Scyllaridae (shovel-nosed and slipper lobsters),01/01/2002,
Snow Crab,Chionoecetes spp.,,28 880901,Oregoniidae (spider crabs),29/04/2002,I
Southern Rock Lobster,Jasus edwardsii,"(Hutton, 1875)",28 820001,Palinuridae (spiny lobsters),01/01/2002,
Spanner Crab,Ranina ranina,"(Linnaeus, 1758)",28 865001,Raninidae (spanner crabs),01/01/2002,
Tiger Prawn,"Penaeus pulchricaudatus, Penaeus esculentus & P. semisulcatus",,28 711905,Penaeidae (penaeid prawns),01/01/2002,
Tropical Rock Lobster,Panulirus spp. except P. cygnus,,28 820901,Palinuridae (spiny lobsters),01/01/2002,
Vannamei Prawn,Penaeus vannamei,"Boone, 1931",28 711079,Penaeidae (penaeid prawns),14/10/2005,I
Velvet Crab,Nectocarcinus tuberculosus,"A. Milne Edwards, 1860",28 911004,Portunidae (swimmer crabs),04/03/2004,
Western King Prawn,Melicertus latisulcatus,"(Kishinouye, 1896)",28 711047,Penaeidae (penaeid prawns),24/11/2014,
Western Rock Lobster,Panulirus cygnus,"George, 1962",28 820005,Palinuridae (spiny lobsters),01/01/2002,
Western School Prawn,Metapenaeus dalli,"Racek, 1957",28 711023,Penaeidae (penaeid prawns),24/11/2014,
Whitetail Bug,Ibacus alticrenatus,"Bate, 1888",28 821001,Scyllaridae (shovel-nosed and slipper lobsters),08/03/2005,
Yabby,"Cherax spp. except C. quadricarinatus, C. cainii & C. tenuimanus",,28 795901,"Parastacidae (freshwater crayfish, yabbies)",01/01/2002,
Abalone,Haliotis spp.,,24 038901,Haliotidae (abalone),25/11/2013,
Abalone,Haliotidae - undifferentiated,,24 038000,Haliotidae (abalone),29/04/2002,
Baby Clam,Meretrix spp.,,23 380903,Veneridae (venus shells),07/10/2002,I
Baby Octopus,Octopus aegina & Octopus sp. A - undifferentiated,,23 659903,Octopodidae (octopus),29/04/2002,
Bailer Shell,Volutidae: Amoriinae & Cymbiinae - undifferentiated,,24 207900,Volutidae (volutes),01/01/2002,
Black Pearl Oyster,Pinctada margaritifera,"(Linnaeus, 1758)",23 236002,Pteriidae (pearl oysters),24/11/2014,
Blacklip Abalone,Haliotis rubra rubra,"Leach, 1814",24 038006,Haliotidae (abalone),01/01/2002,
Blue Mussel,Mytilus planulatus,"Lamarck, 1819",23 220001,Mytilidae (mussels),01/01/2002,
Brownlip Abalone,Haliotis rubra conicopora,"Péron, 1816",24 038002,Haliotidae (abalone),01/01/2002,
Californian Squid,Doryteuthis (Amerigo) opalescens,"(Berry, 1911)",23 617011,"Loliginidae (calamaries, inshore squids)",01/01/2002,I
Chilean Loco,Concholepas concholepas,"(Bruguière, 1789)",24 200230,Muricidae: Rapaninae (gastropods),24/11/2014,I
Cockle,Anadara spp.,,23 226901,Arcidae (ark shells),24/11/2014,
Commercial Scallop,Pecten fumatus,"Reeve, 1852",23 270007,Pectinidae (scallops),24/11/2014,
Conch,Strombidae - undifferentiated,,24 125000,Strombidae (strombs & spider shells),29/04/2002,
Cuttlefish,Sepia spp.,,23 607901,Sepiidae (cuttlefish),01/01/2002,
Giant Squid,Dosidicus gigas,"(d'Orbigny, 1835)",23 636015,Ommastrephidae (flying squids),07/10/2002,I
Gloomy Octopus,Octopus tetricus,"Gould, 1852",23 659006,Octopodidae (octopus),24/11/2014,
Gould's Squid,Nototodarus gouldi,"(McCoy, 1888)",23 636004,Ommastrephidae (flying squids),01/01/2002,
Green Mussel,Perna canaliculus,"(Gmelin, 1791)",23 220751,Mytilidae (mussels),01/01/2002,I
Greenlip Abalone,Haliotis laevigata,"Donovan, 1808",24 038004,Haliotidae (abalone),01/01/2002,
Illex Squid,Illex spp.,,23 636901,Ommastrephidae (flying squids),07/10/2002,I
Loligo Squid,Loliginidae - undifferentiated,,23 617000,"Loliginidae (calamaries, inshore squids)",24/11/2014,
Luminous Bay Squid,Uroteuthis (Aestuariolus) noctiluca,"(Lu, Roper & Tait, 1985)",23 617010,"Loliginidae (calamaries, inshore squids)",Provisional name,
Native Oyster,Ostrea angasi,"G.B. Sowerby II, 1871",23 257002,Ostreidae (oysters),24/11/2014,
New Zealand Arrow Squid,Nototodarus sloanii,"(Gray, 1849)",23 636006,Ommastrephidae (flying squids),29/04/2002,I
Northern Calamari,Sepioteuthis lessoniana,"Ferussac in Lesson, 1831",23 617006,"Loliginidae (calamaries, inshore squids)",01/01/2002,
Octopus,Octopodidae - undifferentiated,,23 659000,Octopodidae (octopus),29/04/2002,
Oyster,Ostreidae & Pteriidae - undifferentiated,,23 255901,,01/01/2002,
Pacific Oyster,Crassostrea gigas,"(Thunberg, 1793)",23 257001,Ostreidae (oysters),24/11/2014,
Pale Octopus,Octopus pallidus,"Hoyle, 1885",23 659004,Octopodidae (octopus),24/11/2014,
Pale Pearl Oyster,Pinctada albina,"(Lamarck, 1819)",23 236001,Pteriidae (pearl oysters),27/07/2009,
Paua,Haliotis iris,"Gmelin, 1791",24 038003,Haliotidae (abalone),01/01/2002,I
Pearl Oyster,Pinctada spp.,,23 236901,Pteriidae (pearl oysters),27/07/2009,
Pearl Oyster,Pteriidae - undifferentiated,,23 236000,Pteriidae (pearl oysters),24/11/2014,
Penguin Wing Oyster,Pteria penguin,"(Röding, 1798)",23 236004,Pteriidae (pearl oysters),27/07/2009,
Periwinkle,"Littorinidae, Neritidae, Trochidae & Turbinidae - undifferentiated",,24 094901,"Littorinidae, Neritidae, Trochidae & Turbinidae (undifferentiated)",01/01/2002,
Pipi,Donax spp.,,23 359901,Donacidae (pipis),01/01/2002,
Roe's Abalone,Haliotis roei,"Gray, 1826",24 038005,Haliotidae (abalone),01/01/2002,
Saucer Scallop,Amusium spp.,,23 270901,Pectinidae (scallops),24/11/2014,
Scallop,Pectinidae - undifferentiated,,23 270000,Pectinidae (scallops),01/01/2002,
Silverlip Pearl Oyster,Pinctada maxima,"(Jameson, 1901)",23 236003,Pteriidae (pearl oysters),27/07/2009,
Southern Calamari,Sepioteuthis australis,"Quoy & Gaimard, 1832",23 617005,"Loliginidae (calamaries, inshore squids)",01/01/2002,
Squid,Order Teuthoidea - undifferentiated,,23 615000,,01/01/2002,
Surf Clam,Dosinia spp.,,23 380901,Veneridae (venus shells),01/01/2002,
Sydney Rock Oyster,Saccostrea glomerata,"(Gould, 1850)",23 257006,Ostreidae (oysters),24/11/2014,
Trochus,Tectus niloticus,"(Linnaeus, 1758)",24 046001,Tegulidae (top shells),01/01/2002,
Venus Clams,Venerupis spp.,,23 380929,Veneridae (venus shells),24/11/2014,
Vongole,Katelysia spp.,,23 380902,Veneridae (venus shells),27/07/2009,
Wing Pearl Oysters,Pteria spp.,,23 236902,Pteriidae (pearl oysters),27/07/2009,
Amberfish (Sea Cucumber),Thelenota anax,"H.L. Clark, 1921",25 417004,Stichopodidae (holothurians),27/07/2009,
Black Teatfish (Sea Cucumber),Holothuria (Microthele) whitmaei,"Bell, 1887",25 416033,Holothuriidae (holothurians),27/07/2009,
Blackfish (Sea Cucumber),Actinopyga miliaris,"(Quoy & Gaimard, 1833)",25 416007,Holothuriidae (holothurians),27/07/2009,
Brown Sandfish (Sea Cucumber),Bohadschia marmorata,"(Jaeger, 1833)",25 416015,Holothuriidae (holothurians),27/07/2009,
Burrowing Blackfish (Sea Cucumber),Actinopyga spinea,"Cherbonnier, 1980",25 416064,Holothuriidae (holothurians),27/07/2009,
Chalkfish (Sea Cucumber),Bohadschia vitiensis,"(Semper, 1868)",25 416065,Holothuriidae (holothurians),27/07/2009,
Curryfish (Sea Cucumber),Stichopus hermanni,"Semper, 1868",25 417006,Stichopodidae (holothurians),27/07/2009,
Deepwater Redfish (Sea Cucumber),Actinopyga echinites,"(Jaeger, 1833)",25 416001,Holothuriidae (holothurians),27/07/2009,
Elephant's Trunkfish (Sea Cucumber),Holothuria (Microthele) fuscopunctata,"Jaeger, 1833",25 416032,Holothuriidae (holothurians),27/07/2009,
Golden Sandfish (Sea Cucumber),Holothuria (Metriatyla) lessoni,"Massin, Uthicke, Purcell, Rowe & Samyn, 2009",25 416031,Holothuriidae (holothurians),27/07/2009,
Greenfish (Sea Cucumber),Stichopus chloronotus,"Brandt, 1835",25 417001,Stichopodidae (holothurians),27/07/2009,
Jellyfish,Class Scyphozoa - undifferentiated,,11 120000,,01/01/2002,
Lollyfish (Sea Cucumber),Holothuria (Halodeima) atra,"Jaeger, 1833",25 416003,Holothuriidae (holothurians),27/07/2009,
Nori,Porphyra spp.,,55 010900,Bangiaceae (red algae),29/04/2002,
Pinkfish (Sea Cucumber),Holothuria (Halodeima) edulis,"Lesson, 1830",25 416020,Holothuriidae (holothurians),27/07/2009,
Prickly Redfish (Sea Cucumber),Thelenota ananas,"(Jaeger, 1833)",25 417003,Stichopodidae (holothurians),27/07/2009,
Redfish (Sea Cucumber),Actinopyga obesa,"(Selenka, 1867)",25 416011,Holothuriidae (holothurians),27/07/2009,
Sandfish (Sea Cucumber),Holothuria (Metriatyla) scabra,"Jaeger, 1833",25 416004,Holothuriidae (holothurians),27/07/2009,
Sea Cucumbers,Holothuriidae & Stichopodidae - undifferentiated,,25 415000,,27/07/2009,
Sea Urchin,Class Echinoidea - undifferentiated,,25 200000,Class Echinoidea (sea urchins),01/01/2002,
Stonefish (Sea Cucumber),Actinopyga lecanora,"(Jaeger, 1833)",25 416009,Holothuriidae (holothurians),27/07/2009,
Surf Redfish (Sea Cucumber),Actinopyga mauritiana,"(Quoy & Gaimard, 1833)",25 416002,Holothuriidae (holothurians),27/07/2009,
Tigerfish (Sea Cucumber),Bohadschia argus,"(Jaeger, 1833)",25 416013,Holothuriidae (holothurians),27/07/2009,
White Teatfish (Sea Cucumber),Holothuria (Microthele) fuscogilva,"Cherbonnier, 1980",25 416006,Holothuriidae (holothurians),27/07/2009,
