Standard Name,Scientific Name,Authority,CAAB Code,Family or Group,Date Added,Imported Only
Bigeye Ocean Perch,Helicolenus barathri,"(Hector, 1875)",37 287093,Sebastidae (Ocean Perches),31/05/2006,
Bigeye Trevally,Caranx sexfasciatus,"Quoy & Gaimard, 1825",37 337039,Carangidae (Trevallies),01/01/2002,
Bigeye Tuna,Thunnus obesus,"(Lowe, 1839)",37 441011,Scombridae (Mackerels),01/01/2002,
Bight Redfish,Centroberyx gerrardi,"(Günther, 1887)",37 258004,Berycidae (Alfonsinos),01/01/2002,
Bigspine Boarfish,Pentaceros decacanthus,"Günther, 1859",37 367004,Pentacerotidae (Boarfishes),01/01/2002,
Black Bream,Acanthopagrus butcheri,"(Munro, 1949)",37 353003,Sparidae (Breams),01/01/2002,
Black Jewfish,Protonibea diacanthus,"(Lacépède, 1802)",37 354003,Sciaenidae (Jewfishes),01/01/2002,
Black Oreodory,Allocyttus niger & Allocyttus verrucosus,,37 266901,Oreosomatidae (Oreodories),10/03/2003,
Black Pomfret,Parastromateus niger,"(Bloch, 1795)",37 337072,Carangidae (Trevallies),01/01/2002,
Black Sole,Brachirus nigra,"(Macleay, 1880)",37 462017,Soleidae (Soles),31/05/2006,
Black Trevally,Caranx lugubris,"Poey, 1860",37 337053,Carangidae (Trevallies),01/01/2002,
Blackbarred Garfish,Hemiramphus far,"(Forsskål, 1775)",37 234007,Hemiramphidae (Garfishes),31/05/2006,
Blackspot Boarfish,Zanclistius elevatus,"(Ramsay & Ogilby, 1888)",37 367005,Pentacerotidae (Boarfishes),01/01/2002,
Blacktip Rockcod,Epinephelus fasciatus,"(Forsskål, 1775)",37 311014,Serranidae (Rockcods),01/01/2002,
Blue Cod,Parapercis colias,"(Bloch & Schneider, 1801)",37 390790,Pinguipedidae (Grubfishes),01/01/2002,I
Blue Grenadier,Macruronus novaezelandiae,"(Hector, 1871)",37 227001,Macruronidae (Southern Hakes),01/01/2002,
Blue Mackerel,Scomber australasicus,"Cuvier, 1832",37 441001,Scombridae (Mackerels),01/01/2002,
